"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"73" ,25 ,"Montipora" ,1 ,7 ,"H" ,0 ,0 ,174 ,1.02583 ,5.23697 ,4.91587 ,0.3211 ,0.0613140804701956 ,26.2288461087185 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"74" ,25 ,"Montipora" ,2 ,6 ,"P" ,0 ,0 ,175 ,1.03705 ,4.28135 ,3.99375 ,0.287599999999999 ,0.0671750732829597 ,25.1027248747062 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"75" ,25 ,"Montipora" ,3 ,6 ,"C" ,60 ,0 ,176 ,1.0304 ,5.0475 ,4.8771 ,0.1704 ,0.0337592867756315 ,22.7085343519741 ,NA ,TRUE ,1 ,"Near" ,"Ambient"
"76" ,26 ,"Montipora" ,1 ,8 ,"H" ,0 ,0 ,203 ,1.02791 ,6.31459 ,5.98119 ,0.3334 ,0.0527983606219882 ,30.165538825938 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"77" ,26 ,"Montipora" ,2 ,9 ,"H" ,0 ,0 ,204 ,1.02072 ,5.97668 ,5.55898 ,0.4177 ,0.0698882991895166 ,35.5911089169778 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"78" ,26 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,205 ,1.0149 ,1.8486 ,1.7448 ,0.1038 ,0.056150600454398 ,9.63669571402705 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"79" ,27 ,"Montipora" ,1 ,9 ,"H" ,0 ,0 ,167 ,1.03499 ,7.33091 ,6.95951 ,0.3714 ,0.0506621960984379 ,27.1972472819448 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"80" ,27 ,"Montipora" ,2 ,6 ,"C" ,5 ,0 ,166 ,1.00496 ,3.88394 ,3.58974 ,0.2942 ,0.0757478230868654 ,21.3552962304298 ,NA ,TRUE ,1 ,"Near" ,"Ambient"
"81" ,27 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,168 ,1.05402 ,2.11568 ,1.97828 ,0.1374 ,0.0649436587763745 ,10.3622079936428 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"82" ,28 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,297 ,1.00401 ,2.68769 ,2.58289 ,0.1048 ,0.0389925921516246 ,13.286337920616 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"83" ,28 ,"Montipora" ,2 ,9 ,"H" ,0 ,0 ,298 ,0.9957 ,5.4946 ,5.1918 ,0.3028 ,0.0551086521311834 ,23.5129066619829 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"84" ,28 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,299 ,0.99005 ,2.20185 ,2.11465 ,0.0872000000000002 ,0.0396030610622886 ,11.8195413553058 ,NA ,FALSE ,1 ,"Near" ,"Ambient"
"85" ,29 ,"Montipora" ,1 ,3 ,"H" ,0 ,0 ,214 ,1.00785 ,2.90455 ,2.72085 ,0.1837 ,0.0632455974247302 ,13.9771517868589 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"86" ,29 ,"Montipora" ,2 ,5 ,"H" ,0 ,0 ,215 ,1.02261 ,3.41589 ,3.21469 ,0.2012 ,0.0589011941251036 ,13.1096914525357 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"87" ,29 ,"Montipora" ,3 ,5 ,"H" ,0 ,0 ,216 ,1.02271 ,4.37919 ,4.13909 ,0.2401 ,0.0548274909286877 ,23.7873395677506 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"88" ,30 ,"Montipora" ,1 ,7 ,"H" ,0 ,0 ,232 ,1.02121 ,6.11619 ,5.83049 ,0.2857 ,0.0467120870999757 ,21.4341562608229 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"89" ,30 ,"Montipora" ,2 ,6 ,"H" ,0 ,0 ,233 ,1.00316 ,3.15744 ,2.93984 ,0.217599999999999 ,0.0689165906557208 ,21.2259657805853 ,"Outlier in AFDW" ,FALSE ,17 ,"Mid" ,"Medium"
